,F,I,H,H-tilde,H-tilde_std,N
AL627309.1,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
AL669831.5,9.676712642663775e-06,0.11509775004326972,5.388758439731455,5.503856189774725,0.05999999999995969,50
FAM87B,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
LINC00115,4.838356321331887e-06,0.040000000000000036,4.483856189774724,4.523856189774724,0.11999999999999339,25
FAM41C,4.451287815625336e-06,8.881784197001252e-16,4.436605434317882,4.436605434317883,0.0869565217390951,23
NOC2L,3.6771508042122346e-05,-0.08957657899291505,7.2250673188344905,7.1354907398415754,0.06057776318068186,190
KLHL17,1.935342528532755e-06,0.0,3.321928094887362,3.321928094887362,0.0,10
PLEKHN1,1.5482740228262038e-06,0.0,3.0,3.0,0.0,8
AL645608.8,2.9030137927991324e-06,0.20000000000000018,3.640223928941852,3.8402239289418523,0.06666666666665856,15
HES4,3.6771508042122346e-05,1.696171344540259,5.490398104601887,7.186569449142146,0.08715635652311694,190
ISG15,8.283266022120191e-05,0.7380477843870361,7.245167424529114,7.9832152089161506,0.040408984188992296,428
AGRN,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
C1orf159,4.0642193099187856e-06,-0.09523809523809579,4.392317422778761,4.297079327540665,0.09523809523812171,21
LINC01342,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
TTLL10,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
TNFRSF18,8.902575631250672e-06,0.5869565217391299,4.871388043013535,5.4583445647526645,0.02173913043487081,46
TNFRSF4,1.3160329194022733e-05,0.6984832239683163,5.295193679766116,5.993676903734432,0.005550643397519617,68
SDF4,5.457665930462369e-05,-0.048244997507087994,7.6457273064194275,7.5974823089123396,0.02999944067120046,282
B3GALT6,1.5095671722555488e-05,0.08660112182260882,6.070595968834512,6.157197090657121,0.07692307692303238,78
C1QTNF12,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
AL162741.1,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
UBE2J2,3.773917930638872e-05,-0.07566608975468458,7.308537172690685,7.232871082936001,0.034640448729013715,195
LINC01786,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
SCNN1D,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
